STATION,STATION_NAME,DATE,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:050848,BOULDER CO US,20130101,15,3,1,27,37,65,-4,46.2,19.7,33.0
COOP:050848,BOULDER CO US,20130101,15,3,1,27,37,65,-4,46.2,19.7,33.0
COOP:050848,BOULDER CO US,20130101,15,3,1,27,37,65,-4,46.2,19.7,33.0
COOP:050848,BOULDER CO US,20130201,41,10,3,112,185,61,8,44.6,19.6,32.1
COOP:050848,BOULDER CO US,20130301,82,9,4,172,228,76,3,54.0,27.0,40.5
COOP:050848,BOULDER CO US,20130401,71,11,8,413,476,77,2,57.7,29.8,43.7
COOP:050848,BOULDER CO US,20130501,132,9,2,266,123,87,17,71.7,43.6,57.6
COOP:050848,BOULDER CO US,20130501,132,9,2,266,123,87,17,71.7,43.6,57.6
COOP:050848,BOULDER CO US,20130501,132,9,2,266,123,87,17,71.7,43.6,57.6
COOP:050848,BOULDER CO US,20130601,37,0,0,61,0,98,40,86.2,53.5,69.8
COOP:050848,BOULDER CO US,20130701,23,0,0,103,0,98,51,86.8,57.5,72.2
COOP:050848,BOULDER CO US,20130801,27,0,0,140,0,97,50,87.6,56.7,72.2
COOP:050848,BOULDER CO US,20130901,908,0,0,1816,0,95,33,77.7,52.5,65.1
COOP:050848,BOULDER CO US,20131001,102,0,2,224,54,77,26,60.0,35.6,47.8
